Word,Furigana,Meaning,Level
氏名,しめい,성명,N3
氏族,しぞく,씨족,etc
氏,し,~씨(사람의 성명 뒤에 붙이는 높임말),N2
氏神,うじがみ,씨족신,etc
統合,とうごう,통합,N1
統一,とういつ,통일,N2
統制,とうせい,통제,N1
伝統,でんとう,전통,N2
正統,せいとう,정통,etc
流派,りゅうは,유파,etc
派閥,はばつ,파벌,etc
宗派,しゅうは,종파,etc
派生,はせい,파생,etc
策略,さくりゃく,책략,etc
対策,たいさく,대책,N3
政策,せいさく,정책,N1
方策,ほうさく,방책,N1
提示,ていじ,제시,N1
提供,ていきょう,제공,N1
提案,ていあん,제안,N3
提義,ていぎ,제의,etc
前提,ぜんてい,전제,N1
挙手,きょしゅ,거수,etc
挙動,きょどう,거동,etc
挙行,きょこう,거행,etc
選挙,せんきょ,선거,N3
検挙,けんきょ,검거,etc
企画,きかく,기획,N1
企業,きぎょう,기업,N2
企図,きと,기도,etc
葛藤,かっとう,갈등,etc
藤,ふじ,등나무,etc
潤沢,じゅんたく,윤택,etc
光沢,こうたく,광택,N1
沢山,たくさん,많음,N5
沢,さわ,못,etc
沢辺,さわべ,못가,etc
裁縫,さいほう,재봉,N2
裁判,さいばん,재판,N2
裁断,さいだん,재단,etc
仲裁,ちゅうさい,중재,etc
証明,しょうめい,증명,N3
証拠,しょうこ,증거,N1
証人,しょうにん,증인,etc
証言,しょうげん,증언,N1
公証,こうしょう,공증,etc
援助,えんじょ,원조,N2
応援,おうえん,응원,N2
救援,きゅうえん,구원,N1
支援,しえん,지원,etc
施行,しこう,시행,N1
実施,じっし,실시,N2
施設,しせつ,시설,N1
布施,ふせ,(불교)보시,etc
施錠,せじょう,시정(자물쇠를 채움),etc
油井,ゆせい,유정,etc
天井,てんじょう,천정(천장),N2
井戸,いど,우물,N2
保護,ほご,보호,N1
護衛,ごえい,호위,N1
警護,けいご,경호,etc
守護,しゅご,수호,etc
看護,かんご,간호,N1
状態,じょうたい,상태,N2
形態,けいたい,형태,N1
態度,たいど,태도,N3
態勢,たいせい,태세,N1
実態,じったい,실태,N1
生態,せいたい,생태,etc
新鮮,しんせん,신선,N2
鮮明,せんめい,선명,etc
鮮血,せんけつ,선혈,etc
視覚,しかく,시각,N1
視力,しりょく,시력,etc
視野,しや,시야,N1
視線,しせん,시선,N1
監視,かんし,감시,N2
根幹,こんかん,근간,etc
脳幹,のうかん,뇌간,etc
幹線,かんせん,간선,N1
幹部,かんぶ,간부,N1
新幹線,しんかんせん,신칸센,N3
宮殿,きゅうでん,궁전,N1
後宮,こうきゅう,후궁,etc
子宮,しきゅう,자궁,etc
神宮,じんぐう,신궁,etc
皇宮,こうぐう,황궁,etc
宮内庁,くないちょう,궁내청(황실에 관한 사무를 맡아 보는 관청),etc
宮参り,みやまいり,신사 참배,etc
護衛,ごえい,호위,N1
衛生,えいせい,위생,N2
衛星,えいせい,위성,N2
防衛,ぼうえい,방위,N1
監督,かんとく,감독,N2
監視,かんし,감시,N2
監禁,かんきん,감금,etc
監査,かんさ,감사,etc
監修,かんしゅう,감수,etc
審判,しんぱん,심판,N2
審査,しんさ,심사,N1
審議,しんぎ,심의,N1
誤審,ごしん,오심,etc
義理,ぎり,의리,N1
意義,いぎ,의의,N3
信義,しんぎ,신의,etc
正義,せいぎ,정의,N1
告訴,こくそ,고소,etc
訴訟,そしょう,소송,N1
起訴,きそ,기소,etc
提訴,ていそ,제소,etc
公訴,こうそ,공소,etc
株式,かぶしき,주식,N1
株価,かぶか,주가,etc
姿勢,しせい,자세,N2
姿態,したい,자태,etc
楼閣,ろうかく,누각,etc
仏閣,ぶっかく,불각(절의 건물),etc
内閣,ないかく,내각,N1
閣僚,かくりょう,각료,etc
民衆,みんしゅう,민중,etc
群衆,ぐんしゅう,군중,N1
大衆,たいしゅう,대중,N1
衆生,しゅじょう,중생,etc
投影,とうえい,투영,etc
幻影,げんえい,환영,etc
影響,えいきょう,영향,N2
陰影,いんえい,음영,etc
撮影,さつえい,촬영,N2
影,かげ,그림자,N2
人影,ひとかげ,인영,N1
老松,ろうしょう,노송,etc
松竹梅,しょうちくばい,송죽매,etc
松,まつ,소나무,N3
若松,わかまつ,어린 소나무,etc
攻撃,こうげき,공격,N2
打撃,だげき,타격,N1
撃退,げきたい,격퇴,etc
爆撃,ばくげき,폭격,etc
補佐,ほさ,보좌,etc
大佐,たいさ,대좌(일본 군대의 계급),etc
核心,かくしん,핵심,N2
内核,ないかく,내핵,etc
核反応,かくはんのう,핵반응,etc
核兵器,かくへいき,핵병기,etc
融解,ゆうかい,융해,etc
融合,ゆうごう,융합,etc
融通,ゆうづう,융통,etc
金融,きんゆう,금융,N2
証票,しょうひょう,증표,etc
投票,とうひょう,투표,N2
伝票,でんぴょう,전표,etc
干渉,かんしょう,간섭,N1
交渉,こうしょう,교섭,N1
渉外,しょうがい,섭외,etc
影響,えいきょう,영향,N2
音響,おんきょう,음향,etc
反響,はんきょう,반향,N1
推進,すいしん,추진,N1
推薦,すいせん,추천,N2
推測,すいそく,추측,N1
推定,すいてい,추정,N2
申請,しんせい,신청,N3
請求,せいきゅう,청구,N2
招請,しょうせい,초청,etc
普請,ふしん,건축/토목 공사,etc
紳士,しんし,신사,N1
飛行士,ひこうし,비행사,etc
武士,ぶし,무사,N2
戦士,せんし,전사,etc
討伐,とうばつ,토벌,etc
討論,とうろん,토론,N2
検討,けんとう,검토,N2
討議,とうぎ,토의,N1
攻撃,こうげき,공격,N2
専攻,せんこう,전공,N3
攻勢,こうせい,공세,etc
川崎市,かわさきし,가와사키 시,etc
監督,かんとく,감독,N2
督促,とくそく,독촉,etc
督励,とくれい,독려,etc
開催,かいさい,개최,N2
主催,しゅさい,주최,N1
催促,さいそく,재촉,N2
波及,はきゅう,파급,N1
普及,ふきゅう,보급,N2
等及,とうきゅう,등급,etc
上級,じょうきゅう,상급,N3
進及,しんきゅう,진급,etc
憲法,けんぽう,헌법,N2
分離,ぶんり,분리,N1
距離,きょり,거리,N3
離別,りべつ,이별,etc
隔離,かくり,격리,etc
感激,かんげき,감격,N2
激流,げきりゅう,격류,etc
激突,げきとつ,격돌,etc
激動,げきどう,격동,etc
激戦,げきせん,격전,etc
摘発,てきはつ,적발,etc
指摘,してき,지적,N1
摘出,てきしゅつ,적출,etc
系列,けいれつ,계열,etc
系統,けいとう,계통,N3
体系,たいけい,체계,N2
新郎,しんろう,신랑,etc
郎君,ろうくん,낭군,etc
盟約,めいやく,맹약,etc
同盟,どうめい,동맹,N1
従順,じゅうじゅん,종순(순종),N1
服従,ふくじゅう,복종,N2
主従,しゅじゅう,주종,etc
従容,しょうよう,침착함,etc
従三位,じゅさんみ,종삼품(위계의 일종),etc
部隊,ぶたい,부대,etc
軍隊,ぐんたい,군대,N2
隊員,たいいん,대원,N1
紡織,ぼうしょく,방직,etc
織女,しょくじょ,직녀,etc
組織,そしき,조직,N2
振動,しんどう,진동,N1
振幅,しんぷく,진폭,etc
振子,しんし,진자,etc
振興,しんこう,진흥,N1
弁護,べんご,변호,N1
弁償,べんしょう,변상,N1
弁論,べんろん,변론,N1
雄弁,ゆうべん,웅변,etc
就職,しゅうしょく,취직,N3
就任,しゅうにん,취임,N2
就学,しゅうがく,취학,etc
去就,きょしゅう,거취,etc
成就,じょうじゅ,성취,etc
貢献,こうけん,공헌,N2
文献,ぶんけん,문헌,N3
献身,けんしん,헌신,etc
献立,こんだて,식단/메뉴,N2
厳格,げんかく,엄격,N1
厳重,げんじゅう,엄중,N2
威厳,いげん,위엄,etc
荘厳,そうごん,장엄,etc
維持,いじ,유지,N2
繊維,せんい,섬유,N1
海浜,かいひん,해변,etc
浜辺,はまべ,해변,N1
横浜,よこはま,요코하마,etc
遺産,いさん,유산,N2
遺棄,いき,유기,etc
遺失,いしつ,유실,etc
遺書,いしょ,유서,etc
遺言,ゆいごん,유언,N2
一塁,いちるい,1루,etc
盗塁,とうるい,도루,etc
本塁打,ほんるいだ,본루타(홈런),etc
邦楽,ほうがく,방악(그 나라 고유의 음악),etc
連邦,れんぽう,연방,N1
本邦,ほんぽう,본방(자국),etc
元素,げんそ,원소,N1
素朴,そぼく,소박,N2
素材,そざい,소재,N1
素足,すあし,맨발,etc
素手,すで,맨손/맨주먹,etc
素顔,すがお,화장하지 않은 얼굴/민낯,etc
派遣,はけん,파견,N1
小遣,こづかい,용돈,N2
言葉遣い,ことばづかい,말씨/말투,N2
対抗,たいこう,대항,N1
抵抗,ていこう,저항,N2
抗争,こうそう,항쟁,N1
模範,もはん,모범,N1
模擬,もぎ,모의,etc
模型,もけい,모형,N1
模倣,もほう,모방,N1
規模,きぼ,규모,N2
雄大,ゆうだい,웅대,etc
英雄,えいゆう,영웅,N1
雌雄,しゆう,자웅,etc
雄鹿,おじか,수사슴,etc
雄,おす,수컷,N1
利益,りえき,이익,N2
有益,ゆうえき,유익,N1
国益,こくえき,국익,etc
利益,りやく,신불이 인간에게 내리는 은혜,etc
緊張,きんちょう,긴장,N2
緊迫,きんぱく,긴박,N1
緊急,きんきゅう,긴급,N1
緊密,きんみつ,긴밀,N1
宣言,せんげん,선언,N1
宣伝,せんでん,선전,N3
宣誓,せんせい,선서,etc
宣告,せんこく,선고,etc
昭和,しょうわ,쇼와(서기 1926~1989까지의 일본 연호),etc
昭和天皇,しょうわてんのう,쇼와 천황,etc
廃止,はいし,폐지,N1
荒廃,こうはい,황폐,N1
廃棄,はいき,폐기,N1
長江,ちょうこう,장강,etc
江湖,こうこ,강호(세상),etc
江戸時代,えどじだい,에도 시대(서기 1603~1867),etc
同僚,どうりょう,동료,N2
官僚,かんりょう,관료,N1
閣僚,かくりょう,각료,etc
吉日,きちじつ,길일,etc
大吉,だいきち,대길,etc
吉夢,きちむ,길몽,etc
不吉,ふきつ,불길,N1
盛大,せいだい,성대,N1
旺盛,おうせい,왕성,N1
全盛期,ぜんせいき,전성기,etc
繁盛,はんじょう,번성,N1
皇帝,こうてい,황제,etc
皇后,こうごう,황후,etc
皇位,こうい,황위,etc
皇子,おうじ,황자,etc
皇女,おうじょ,황녀,etc
天皇,てんのう,천황,N2
君臨,くんりん,군림,etc
降臨,こうりん,강림,etc
臨終,りんじゅう,임종,etc
臨時,りんじ,임시,N2
踏破,とうは,답파,etc
未踏,みとう,미답,etc
踏査,とうさ,답사,etc
破壊,はかい,파괴,N1
壊滅,かいめつ,괴멸,etc
崩壊,ほうかい,붕괴,N1
債務,さいむ,채무,etc
負債,ふさい,부채,N1
興奮,こうふん,흥분,N1
振興,しんこう,진흥,N1
新興,しんこう,신흥,N1
興味,きょうみ,흥미,N4
余興,よきょう,여흥,N1
