Link,Kanji,Meanings,On Yomi,Kun Yomi,Pronunciations,Level
https://nihongokanji.com/1036,氏,"[""성씨"", ""집안"", ""~씨""]","[""シ""]","[""うじ""]","[""성씨 씨""]",N1
https://nihongokanji.com/1037,統,"[""거느리다"", ""통괄하다"", ""계통""]","[""トウ""]","[""す(べる)""]","[""거느릴 통""]",N1
https://nihongokanji.com/1038,派,"[""갈래"", ""파벌"", ""갈라지다""]",[],[],"[""갈래 파""]",N1
https://nihongokanji.com/1039,策,"[""계책"", ""책략""]","[""サク""]",[],"[""꾀 책""]",N1
https://nihongokanji.com/1040,提,"[""제시하다"", ""들다""]","[""テイ""]","[""さ(げる)""]","[""끌 제""]",N1
https://nihongokanji.com/1041,挙,"[""들어올리다"", ""행동하다""]","[""キョ""]","[""あ(げる)、あ(がる)""]","[""들 거""]",N1
https://nihongokanji.com/1042,企,"[""도모하다"", ""계획하다""]","[""キ""]","[""くわだ(てる)""]","[""꾀할 기""]",N1
https://nihongokanji.com/1043,藤,"[""등나무""]","[""トウ""]","[""ふじ""]","[""등나무 등""]",N1
https://nihongokanji.com/1044,沢,"[""못"", ""윤기"", ""윤택하다""]","[""タク""]","[""さわ""]","[""못 택""]",N1
https://nihongokanji.com/1045,裁,"[""재단하다"", ""판가름하다""]","[""サイ""]","[""た(つ)、さば(く)""]","[""옷 마를 재""]",N1
https://nihongokanji.com/1046,証,"[""증명"", ""증거""]","[""ショウ""]",[],"[""증거 증""]",N1
https://nihongokanji.com/1047,援,"[""돕다""]","[""エン""]",[],"[""도울 원""]",N1
https://nihongokanji.com/1048,施,"[""베풀다"", ""행하다""]","[""シ、セ""]","[""ほどこ(す)""]","[""베풀 시""]",N1
https://nihongokanji.com/1049,井,"[""우물""]","[""セイ、ショウ""]","[""い""]","[""우물 정""]",N1
https://nihongokanji.com/1050,護,"[""보호하다""]","[""ゴ""]",[],"[""도울 호""]",N1
https://nihongokanji.com/1051,態,"[""모습"", ""형태"", ""상태""]","[""タイ""]",[],"[""모습 태""]",N1
https://nihongokanji.com/1052,鮮,"[""신선한"", ""선명한""]","[""セン""]","[""あざ(やか)""]","[""고울 선""]",N1
https://nihongokanji.com/1053,視,"[""보다"", ""살펴보다""]","[""シ""]",[],"[""볼 시""]",N1
