Kanji,Meanings,On Yomi,Kun Yomi,Pronunciations,Level
氏,"[""성씨"", ""집안"", ""~씨""]","[""シ""]","[""うじ""]","[""성씨 씨""]",N1
統,"[""거느리다"", ""통괄하다"", ""계통""]","[""トウ""]","[""す(べる)""]","[""거느릴 통""]",N1
派,"[""갈래"", ""파벌"", ""갈라지다""]",[],[],"[""갈래 파""]",N1
策,"[""계책"", ""책략""]","[""サク""]",[],"[""꾀 책""]",N1
提,"[""제시하다"", ""들다""]","[""テイ""]","[""さ(げる)""]","[""끌 제""]",N1
挙,"[""들어올리다"", ""행동하다""]","[""キョ""]","[""あ(げる)、あ(がる)""]","[""들 거""]",N1
企,"[""도모하다"", ""계획하다""]","[""キ""]","[""くわだ(てる)""]","[""꾀할 기""]",N1
藤,"[""등나무""]","[""トウ""]","[""ふじ""]","[""등나무 등""]",N1
沢,"[""못"", ""윤기"", ""윤택하다""]","[""タク""]","[""さわ""]","[""못 택""]",N1
裁,"[""재단하다"", ""판가름하다""]","[""サイ""]","[""た(つ)、さば(く)""]","[""옷 마를 재""]",N1
証,"[""증명"", ""증거""]","[""ショウ""]",[],"[""증거 증""]",N1
援,"[""돕다""]","[""エン""]",[],"[""도울 원""]",N1
施,"[""베풀다"", ""행하다""]","[""シ、セ""]","[""ほどこ(す)""]","[""베풀 시""]",N1
井,"[""우물""]","[""セイ、ショウ""]","[""い""]","[""우물 정""]",N1
護,"[""보호하다""]","[""ゴ""]",[],"[""도울 호""]",N1
態,"[""모습"", ""형태"", ""상태""]","[""タイ""]",[],"[""모습 태""]",N1
鮮,"[""신선한"", ""선명한""]","[""セン""]","[""あざ(やか)""]","[""고울 선""]",N1
視,"[""보다"", ""살펴보다""]","[""シ""]",[],"[""볼 시""]",N1
幹,"[""줄기"", ""주요 부분""]","[""カン""]","[""みき""]","[""줄기 간""]",N1
宮,"[""궁전"", ""궁궐""]","[""キュウ、グウ、ク""]","[""みや""]","[""집 궁""]",N1
衛,"[""지키다"", ""방비하다""]","[""エイ""]",[],"[""지킬 위""]",N1
監,"[""감독하다"", ""감시하다""]","[""カン""]",[],"[""볼 감""]",N1
審,"[""심사하다"", ""자세히 조사하다""]","[""シン""]",[],"[""살필 심""]",N1
義,"[""의"", ""도리""]","[""ギ""]",[],"[""옳을 의""]",N1
訴,"[""호소하다"", ""하소연하다""]","[""ソ""]","[""うった(える)""]","[""호소할 소""]",N1
株,"[""그루"", ""그루터기"", ""주식""]",[],"[""かぶ""]","[""그루 주""]",N1
姿,"[""모양"", ""자세"", ""자태"", ""맵시""]","[""シ""]","[""すがた""]","[""모양 자""]",N1
閣,"[""전각"", ""누각"", ""복층 건물""]","[""カク""]",[],"[""집 각""]",N1
衆,"[""무리"", ""군중"", ""대중""]","[""シュウ、シュ""]",[],"[""무리 중""]",N1
影,"[""그림자""]","[""エイ""]","[""かげ""]","[""그림자 영""]",N1
松,"[""소나무""]","[""ショウ""]","[""まつ""]","[""소나무 송""]",N1
撃,"[""때리다"", ""공격하다"", ""무력을 가하다""]","[""ゲキ""]","[""う(つ)""]","[""칠 격""]",N1
佐,"[""돕다"", ""보좌하다""]","[""サ""]",[],"[""도울 좌""]",N1
核,"[""핵심"", ""핵"", ""중심""]","[""カク""]",[],"[""씨 핵""]",N1
融,"[""녹다"", ""녹이다"", ""화합하다""]","[""ユウ""]",[],"[""녹을 융""]",N1
票,"[""표"", ""쪽지"", ""증표"", ""투표""]","[""ヒョウ""]",[],"[""표 표""]",N1
渉,"[""건너다"", ""관계하다"", ""상관하다""]","[""ショウ""]",[],"[""건널 섭""]",N1
響,"[""울리다"", ""공명하다"", ""메아리치다""]","[""キョウ""]","[""ひび(く)""]","[""울릴 향""]",N1
