Word,Furigana,Meaning,Level
氏,し,,N1
名,めい,성명,N1
氏,し,,N1
族,ぞく,"씨족, ~",N1
氏,し,~씨(사람의 성명 뒤에 붙이는 높임말),N1
氏神,うじがみ,씨족신,N1
統合,とうごう,통합,N1
統一,とういつ,통일,N1
統制,とうせい,통제,N1
伝統,でんとう,전통,N1
正統,せいとう,정통,N1
流,りゅう,,N1
派,は,유파,N1
派,は,,N1
閥,ばつ,파벌,N1
宗,しゅう,,N1
派,は,종파,N1
派,は,,N1
生,せい,파생,N1
策,さく,,N1
略,りゃく,책략,N1
対策,たいさく,대책,N1
政策,せいさく,정책,N1
方策,ほうさく,방책,N1
提,てい,,N1
示,じ,제시,N1
提,てい,,N1
供,きょう,제공,N1
提案,ていあん,제안,N1
提,てい,,N1
義,ぎ,제의,N1
前提,ぜんてい,전제,N1
鞄,かばん,を,N1
提,さ,げる 가방을 (손에) 들다,N1
挙手,きょしゅ,거수,N1
挙動,きょどう,거동,N1
挙行,きょこう,거행,N1
選挙,せんきょ,선거,N1
検挙,けんきょ,검거,N1
企,き,,N1
画,かく,기획,N1
企,き,,N1
業,ぎょう,기업,N1
企図,きと,기도,N1
葛藤,かっとう,갈등,N1
藤,ふじ,등나무,N1
潤,じゅん,,N1
沢,たく,윤택,N1
光沢,こうたく,광택,N1
沢山,たくさん,많음,N1
沢,さわ,못,N1
沢,さわ,,N1
辺,べ,못가,N1
裁縫,さいほう,재봉,N1
裁判,さいばん,재판,N1
裁断,さいだん,재단,N1
仲,ちゅう,,N1
裁,さい,중재,N1
証,しょう,,N1
明,めい,증명,N1
証,しょう,,N1
拠,こ,증거,N1
証,しょう,,N1
人,にん,증인,N1
証,しょう,,N1
言,げん,증언,N1
公,こう,,N1
証,しょう,공증,N1
援助,えんじょ,원조,N1
応援,おうえん,응원,N1
救,きゅう,,N1
援,えん,구원,N1
支,し,,N1
援,えん,지원,N1
施,し,,N1
行,こう,시행,N1
実,じっ,,N1
施,し,실시,N1
施,し,,N1
設,せつ,시설,N1
布施,ふせ,(불교)보시,N1
施,せ,,N1
錠,じょう,시정(자물쇠를 채움),N1
油,ゆ,,N1
井,せい,유정,N1
天,てん,,N1
井,じょう,천정(천장),N1
井戸,いど,우물,N1
保護,ほご,보호,N1
護,ご,,N1
衛,えい,호위,N1
警,けい,,N1
護,ご,경호,N1
守,しゅ,,N1
護,ご,수호,N1
看,かん,,N1
護,ご,간호,N1
状,じょう,,N1
態,たい,상태,N1
形態,けいたい,형태,N1
態,たい,,N1
度,ど,태도,N1
態勢,たいせい,태세,N1
実態,じったい,실태,N1
生態,せいたい,생태,N1
新鮮,しんせん,신선,N1
鮮明,せんめい,선명,N1
鮮血,せんけつ,선혈,N1
視,し,,N1
覚,かく,시각,N1
視,し,,N1
力,りょく,시력,N1
視野,しや,시야,N1
視,し,,N1
線,せん,시선,N1
監,かん,,N1
視,し,감시,N1
根幹,こんかん,근간,N1
脳幹,のうかん,뇌간,N1
幹線,かんせん,간선,N1
幹,かん,,N1
部,ぶ,간부,N1
新幹線,しんかんせん,신칸센,N1
宮,きゅう,,N1
殿,でん,궁전,N1
後,こう,,N1
宮,きゅう,후궁,N1
子,し,,N1
宮,きゅう,자궁,N1
神宮,じんぐう,신궁,N1
皇宮,こうぐう,황궁,N1
宮,く,,N1
内,ない,,N1
庁,ちょう,궁내청(황실에 관한 사무를 맡아 보는 관청),N1
宮参,みやまい,り 신사 참배,N1
護,ご,,N1
衛,えい,호위,N1
衛生,えいせい,위생,N1
衛星,えいせい,위성,N1
防衛,ぼうえい,방위,N1
監督,かんとく,감독,N1
監,かん,,N1
視,し,감시,N1
監禁,かんきん,감금,N1
監,かん,,N1
査,さ,감사,N1
監,かん,,N1
修,しゅう,감수,N1
審判,しんぱん,심판,N1
審,しん,,N1
査,さ,심사,N1
審,しん,,N1
議,ぎ,심의,N1
誤,ご,,N1
審,しん,오심,N1
義理,ぎり,의리,N1
意義,いぎ,의의,N1
信,しん,,N1
義,ぎ,신의,N1
正,せい,,N1
義,ぎ,정의,N1
告,こく,,N1
訴,そ,고소,N1
訴,そ,,N1
訟,しょう,소송,N1
起訴,きそ,기소,N1
提,てい,,N1
訴,そ,제소,N1
公,こう,,N1
訴,そ,공소,N1
株式,かぶしき,주식,N1
株,かぶ,,N1
価,か,주가,N1
姿,し,,N1
勢,せい,자세,N1
姿,し,,N1
態,たい,자태,N1
鏡,かがみ,に,N1
映,うつ,った,N1
姿,すがた,거울에 비친 모습,N1
楼閣,ろうかく,누각,N1
仏閣,ぶっかく,불각(절의 건물),N1
内閣,ないかく,내각,N1
閣,かく,,N1
僚,りょう,각료,N1
民,みん,,N1
衆,しゅう,민중,N1
群,ぐん,,N1
衆,しゅう,군중,N1
大,たい,,N1
衆,しゅう,대중,N1
衆,しゅ,,N1
生,じょう,중생,N1
投影,とうえい,투영,N1
幻影,げんえい,환영,N1
影,えい,,N1
響,きょう,영향,N1
陰影,いんえい,음영,N1
撮影,さつえい,촬영,N1
影,かげ,그림자,N1
人影,ひとかげ,인영,N1
老,ろう,,N1
松,しょう,노송,N1
松,しょう,,N1
竹梅,ちくばい,송죽매,N1
松,まつ,소나무,N1
若松,わかまつ,어린 소나무,N1
攻撃,こうげき,공격,N1
打,だ,,N1
撃,げき,타격,N1
撃退,げきたい,격퇴,N1
爆撃,ばくげき,폭격,N1
撃,う,つ 미사일을 쏘다,N1
補佐,ほさ,보좌,N1
大,たい,,N1
佐,さ,대좌(일본 군대의 계급),N1
核心,かくしん,핵심,N1
内核,ないかく,내핵,N1
核反応,かくはんのう,핵반응,N1
核兵,かくへい,,N1
器,き,핵병기,N1
融解,ゆうかい,융해,N1
融合,ゆうごう,융합,N1
融通,ゆうづう,융통,N1
金融,きんゆう,금융,N1
証票,しょうひょう,증표,N1
投,とう,,N1
票,ひょう,투표,N1
伝,でん,,N1
票,ぴょう,전표,N1
干,かん,,N1
渉,しょう,간섭,N1
交,こう,,N1
渉,しょう,교섭,N1
渉,しょう,,N1
外,がい,섭외,N1
影,えい,,N1
響,きょう,영향,N1
音,おん,,N1
響,きょう,음향,N1
反,はん,,N1
響,きょう,반향,N1
推進,すいしん,추진,N1
推薦,すいせん,추천,N1
推測,すいそく,추측,N1
推定,すいてい,추정,N1
申請,しんせい,신청,N1
請,せい,,N1
求,きゅう,청구,N1
招,しょう,,N1
請,せい,초청,N1
普,ふ,,N1
請,しん,건축/토목 공사,N1
紳,しん,,N1
士,し,신사,N1
飛,ひ,,N1
行,こう,,N1
士,し,비행사,N1
武士,ぶし,무사,N1
戦,せん,,N1
士,し,전사,N1
討伐,とうばつ,토벌,N1
討論,とうろん,토론,N1
検討,けんとう,검토,N1
討,とう,,N1
議,ぎ,토의,N1
攻撃,こうげき,공격,N1
専攻,せんこう,전공,N1
攻勢,こうせい,공세,N1
敵,てき,の,N1
弱,じゃく,,N1
点,てん,を,N1
攻,せ,める 적의 약점을 공격하다,N1
川崎,かわさき,,N1
市,し,가와사키 시,N1
監督,かんとく,감독,N1
督促,とくそく,독촉,N1
督励,とくれい,독려,N1
開催,かいさい,개최,N1
主催,しゅさい,주최,N1
催促,さいそく,재촉,N1
波,は,,N1
及,きゅう,파급,N1
普,ふ,,N1
及,きゅう,보급,N1
等,とう,,N1
及,きゅう,등급,N1
上級,じょうきゅう,상급,N1
進,しん,,N1
及,きゅう,진급,N1
憲法,けんぽう,헌법,N1
分,ぶん,,N1
離,り,분리,N1
距,きょ,,N1
離,り,거리,N1
離,り,,N1
別,べつ,이별,N1
隔,かく,,N1
離,り,격리,N1
感激,かんげき,감격,N1
激,げき,,N1
流,りゅう,격류,N1
激突,げきとつ,격돌,N1
激動,げきどう,격동,N1
激戦,げきせん,격전,N1
激,はげ,しい,N1
反対,はんたい,격렬한 반대,N1
摘発,てきはつ,적발,N1
指,し,,N1
摘,てき,지적,N1
摘,てき,,N1
出,しゅつ,적출,N1
系列,けいれつ,계열,N1
系統,けいとう,계통,N1
体系,たいけい,체계,N1
新郎,しんろう,신랑,N1
