Word,Furigana,Meaning,Level
氏名,しめい,성명,N1
氏族,しぞく,씨족,N1
氏,し,~씨(사람의 성명 뒤에 붙이는 높임말),N1
氏神,うじがみ,씨족신,N1
統合,とうごう,통합,N1
統一,とういつ,통일,N1
統制,とうせい,통제,N1
伝統,でんとう,전통,N1
正統,せいとう,정통,N1
流派,りゅうは,유파,N1
派閥,はばつ,파벌,N1
宗派,しゅうは,종파,N1
派生,はせい,파생,N1
策略,さくりゃく,책략,N1
対策,たいさく,대책,N1
政策,せいさく,정책,N1
方策,ほうさく,방책,N1
提示,ていじ,제시,N1
提供,ていきょう,제공,N1
提案,ていあん,제안,N1
提義,ていぎ,제의,N1
前提,ぜんてい,전제,N1
挙手,きょしゅ,거수,N1
挙動,きょどう,거동,N1
挙行,きょこう,거행,N1
選挙,せんきょ,선거,N1
検挙,けんきょ,검거,N1
企画,きかく,기획,N1
企業,きぎょう,기업,N1
企図,きと,기도,N1
葛藤,かっとう,갈등,N1
藤,ふじ,등나무,N1
潤沢,じゅんたく,윤택,N1
光沢,こうたく,광택,N1
沢山,たくさん,많음,N1
沢,さわ,못,N1
沢辺,さわべ,못가,N1
裁縫,さいほう,재봉,N1
裁判,さいばん,재판,N1
裁断,さいだん,재단,N1
仲裁,ちゅうさい,중재,N1
証明,しょうめい,증명,N1
証拠,しょうこ,증거,N1
証人,しょうにん,증인,N1
証言,しょうげん,증언,N1
公証,こうしょう,공증,N1
援助,えんじょ,원조,N1
応援,おうえん,응원,N1
救援,きゅうえん,구원,N1
支援,しえん,지원,N1
施行,しこう,시행,N1
実施,じっし,실시,N1
施設,しせつ,시설,N1
布施,ふせ,(불교)보시,N1
施錠,せじょう,시정(자물쇠를 채움),N1
油井,ゆせい,유정,N1
天井,てんじょう,천정(천장),N1
井戸,いど,우물,N1
保護,ほご,보호,N1
護衛,ごえい,호위,N1
警護,けいご,경호,N1
守護,しゅご,수호,N1
看護,かんご,간호,N1
状態,じょうたい,상태,N1
形態,けいたい,형태,N1
態度,たいど,태도,N1
態勢,たいせい,태세,N1
実態,じったい,실태,N1
生態,せいたい,생태,N1
新鮮,しんせん,신선,N1
鮮明,せんめい,선명,N1
鮮血,せんけつ,선혈,N1
視覚,しかく,시각,N1
視力,しりょく,시력,N1
視野,しや,시야,N1
視線,しせん,시선,N1
監視,かんし,감시,N1
根幹,こんかん,근간,N1
脳幹,のうかん,뇌간,N1
幹線,かんせん,간선,N1
幹部,かんぶ,간부,N1
新幹線,しんかんせん,신칸센,N1
宮殿,きゅうでん,궁전,N1
後宮,こうきゅう,후궁,N1
子宮,しきゅう,자궁,N1
神宮,じんぐう,신궁,N1
皇宮,こうぐう,황궁,N1
宮内庁,くないちょう,궁내청(황실에 관한 사무를 맡아 보는 관청),N1
宮参り,みやまいり,신사 참배,N1
護衛,ごえい,호위,N1
衛生,えいせい,위생,N1
衛星,えいせい,위성,N1
防衛,ぼうえい,방위,N1
監督,かんとく,감독,N1
監視,かんし,감시,N1
監禁,かんきん,감금,N1
監査,かんさ,감사,N1
監修,かんしゅう,감수,N1
審判,しんぱん,심판,N1
審査,しんさ,심사,N1
審議,しんぎ,심의,N1
誤審,ごしん,오심,N1
義理,ぎり,의리,N1
意義,いぎ,의의,N1
信義,しんぎ,신의,N1
正義,せいぎ,정의,N1
告訴,こくそ,고소,N1
訴訟,そしょう,소송,N1
起訴,きそ,기소,N1
提訴,ていそ,제소,N1
公訴,こうそ,공소,N1
株式,かぶしき,주식,N1
株価,かぶか,주가,N1
姿勢,しせい,자세,N1
姿態,したい,자태,N1
楼閣,ろうかく,누각,N1
仏閣,ぶっかく,불각(절의 건물),N1
内閣,ないかく,내각,N1
閣僚,かくりょう,각료,N1
民衆,みんしゅう,민중,N1
群衆,ぐんしゅう,군중,N1
大衆,たいしゅう,대중,N1
